"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.24541177115674","7.62597903791835","11.6381513220985","11.8674762151377","9.23269367587705","11.4370971722688","11.6989358595343","11.0836292401481","","","",
"Africa Western and Central","AFW","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.25423745220691","9.44019549527723","9.55151655888075","10.2249569689872","8.91289884359989","9.44007218414204","10.8283059553168","12.3645924301501","14.1831450300624","9.87031380207947","8.96927105568948","10.0259673385746",
"Albania","ALB","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.65738703548396","8.13171240346954","7.92991262699532","7.73182739633685","7.42400985630468","8.43098711693538","8.74722800678583","9.01864922404764","9.15081252889815","9.07841434175283","9.06900760368607","8.84649372363516",
"Andorra","AND","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7087219554461","11.9573349173135","12.5956019975254","12.993306020068","12.5403877289777","12.5184598126835","12.8540035694888","13.1515333766196","12.871175027192","12.1610965391164","12.4301031322425","12.3081785895039","11.8260714068531",
"Argentina","ARG","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.24977263724113","8.81033399559022","8.85835629974667","8.58269638340699","8.54702664573378","7.23503359658627","6.86815902450533","7.2475325307913","10.1560460352012","9.99137338188928","9.43509134768433","8.86871247168992","10.1924279555023","8.64866000515038","9.72634066738099","12.4102181705815","12.983902466712",
"Armenia","ARM","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5459003039343","22.9249264237646","22.4772305345731","20.4053322129654","20.9948105298055","17.7525801579801","14.9437272531709","13.5296315420868","12.6409406273296","11.6291669717805","11.8584501648748","12.9515014151532","12.7606199307314","12.5027652041209","11.8586401367831","11.5039275348061","",
"American Samoa","ASM","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.04616462244291","3.91139417544749","3.9474414670246","3.87413087895443","5.45499026741685","6.47596679835312","9.28716761396125",
"Australia","AUS","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9390008943253","4.75092644765004","4.50428076628894","4.19912384001137","4.70300396072203","4.62021662059414","4.69684531050885","4.75557889210946","4.67249759967552","4.69700335511658","5.31731759650771","5.44397257111967","5.91271906081673","5.91854176977054","6.19862631822147","6.37432250408069","6.16933763669525",
"Austria","AUT","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.79492045431925","3.81390595309035","3.61200383000281","4.58153542349424","5.09505050694966","4.98718024999289","5.12553014876497","5.36846249339605","5.21248631883844","5.37707549029426","6.19177596311036","6.89234780812498","6.87103074202291","7.50821379217828","7.26713946592396","",
"Azerbaijan","AZE","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7057508282479","13.1940270648007","14.2722721746241","14.5224971433787","13.4480304712174","13.4526172308718","13.828671765858","12.1741175762653","","","","",
"Belgium","BEL","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.86185860774988","3.04175824268251","4.29750948210309","3.88353933355231","4.52617221123913","5.02588260701211","4.9211814488282","5.33174062036665","5.78443559078967","5.37820418800116","5.68502314992685","5.87334161221032","6.34337174411597","6.33769140020729","6.23056877770938","6.25219150044764","6.17390054662305",
"Benin","BEN","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0054221465425","6.18702858460746","6.56102257085237","6.18389010006754","5.7247265660517","5.71072482772314","5.24619092380409","4.74201086025218","5.16828540729108","4.77446925869926","4.76216005308376",
"Bulgaria","BGR","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5563362653156","10.84215703164","10.4676943505694","10.7646981785138","10.0960726886888","10.3515203225993","11.5668782833913","12.0159015689814","11.6296074357592","11.3934047974268","10.8232721834834","11.594317854372","11.8822023363105","",
"Bahrain","BHR","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.439232259874","14.5276556119215","14.9329744356692","11.7934618614307","10.7372308611601","9.72960582201421","9.73688626796929","8.81780651745429","9.20404699400371","9.69789200026488","10.2770245780126","10.6136133018033","10.9337490886953","11.5376090431261","10.666361349263","10.0775141088994","10.8611634364823","10.6759898126584","10.4304601098","10.5108363786232","10.1870293872041","9.97461686926734",
"Belarus","BLR","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0965187240149","12.0225489372009","10.9835385205433","10.1769821077429","9.67766580307963","9.93939163995331","10.5859782359031","11.4954417188885","11.4812432073764","11.5463919967068","11.3681558222766","12.1401371939043",
"Belize","BLZ","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.68539480893566","7.5351167253222","7.67717422206232","7.48548984386741","7.1451600357314","7.03798113217368","7.32457471338062","6.63942230277621","6.7287898522671","6.87991830877405","6.81023539088295","",
"Brazil","BRA","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0181902860592","10.2393523448149","10.2540245906716","10.5496437737182","11.9485636678017","10.2993783970849","10.0825402305763","10.1489827569519","10.1473836254435","9.76484063411286","8.82953233073611","9.09720915683506","9.41253763159171","9.42741145299835","9.32997279016473","9.71309443914773","",
"Barbados","BRB","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2893273004235","10.5027849530793","8.23473616215785","7.63757386970654","10.2140827637815","10.3731748765441",
"Brunei Darussalam","BRN","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.71180997914372","9.15863229527661","8.07265859191256","6.79352283087438","9.51051306647269","9.77881655703147","10.9511111160457","11.0715627692031","9.50249159764374","11.0849494759084","11.1564894767294","11.9468105119918","10.0806410214118",
"Bhutan","BTN","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.18222996575437","8.09100817591632","12.0810518467523","16.964363970331","17.4978622038032","16.6112764865","17.6113939029","15.4489088582062","12.9710977197129","13.7365293816121","12.1762298867312","","",
"Botswana","BWA","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.06078410566687","8.38265228013626","9.11141269872146","8.52432101821958","8.44034922621483","8.76612972477976","8.91952686381326","8.91081304800064","9.19113083750988","8.62583670401558",
"Central African Republic","CAF","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3844713841228","13.152331880037","14.1280772011506","19.087337952289","19.1593570742527","18.0602311442297","16.0897752358952","17.6941228680302","15.0788751459618","15.9197308599107","13.8170337238636","13.8533955288267",
"Canada","CAN","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.50904265128511","4.58166993633633","4.22304366211909","4.0461602097785","4.75623982302236","4.76631113956","4.8767155588592","4.61982973068852","4.30271410755344","4.4783876783578","4.55248540735644","4.65117202502206","4.79472477595189","4.78625179421219","4.70198129157197","4.55592923577073","4.7646332923412",
